TITLES,RATINGS
229. Network,8.1 (170K)
230. Stand by Me,8.1 (439K)
231. The Wizard of Oz,8.1 (427K)
232. The Incredibles,8.0 (804K)
233. Hachi: A Dog's Tale,8.1 (310K)
234. My Father and My Son,8.2 (92K)
235. Into the Wild,8.1 (656K)
236. The Handmaiden,8.1 (171K)
237. The Sound of Music,8.1 (259K)
238. To Be or Not to Be,8.1 (43K)
239. The Battle of Algiers,8.1 (65K)
240. The Grapes of Wrath,8.1 (100K)
241. Groundhog Day,8.0 (682K)
242. Amores Perros,8.1 (252K)
243. Rebecca,8.1 (146K)
244. Cool Hand Luke,8.1 (188K)
245. The Iron Giant,8.1 (226K)
246. The Help,8.1 (491K)
247. It Happened One Night,8.1 (112K)
248. Dances with Wolves,8.0 (289K)
249. Aladdin,8.0 (464K)
250. Drishyam,8.2 (94K)
